iter	Passed	Remaining
724	4473	1696
725	4481	1691
726	4490	1686
727	4497	1680
728	4503	1674
729	4507	1667
730	4513	1660
731	4520	1655
732	4526	1648
733	4532	1642
734	4536	1635
735	4540	1628
736	4546	1622
737	4550	1615
738	4554	1608
739	4559	1601
740	4564	1595
741	4569	1588
742	4573	1582
743	4581	1576
744	4586	1569
745	4590	1563
746	4596	1556
747	4601	1550
748	4605	1543
749	4610	1536
750	4615	1530
751	4619	1523
752	4624	1516
753	4629	1510
754	4634	1504
755	4639	1497
756	4644	1491
757	4649	1484
758	4654	1477
759	4659	1471
760	4664	1464
761	4668	1458
762	4674	1451
763	4678	1445
764	4682	1438
765	4687	1431
766	4692	1425
767	4697	1418
768	4701	1412
769	4707	1406
770	4711	1399
771	4715	1392
772	4720	1386
773	4725	1379
774	4730	1373
775	4734	1366
776	4739	1360
777	4745	1354
778	4749	1347
779	4755	1341
780	4759	1334
781	4764	1328
782	4769	1321
783	4774	1315
784	4778	1308
785	4783	1302
786	4788	1296
787	4793	1289
788	4797	1282
789	4802	1276
790	4807	1270
791	4811	1263
792	4816	1257
793	4821	1250
794	4826	1244
795	4830	1238
796	4837	1232
797	4843	1225
798	4847	1219
799	4853	1213
800	4858	1207
801	4863	1200
802	4868	1194
803	4873	1187
804	4877	1181
805	4882	1175
806	4887	1168
807	4891	1162
808	4896	1155
809	4901	1149
810	4905	1143
811	4910	1136
812	4915	1130
813	4919	1124
814	4924	1117
815	4928	1111
816	4934	1105
817	4938	1098
818	4943	1092
819	4950	1086
820	4956	1080
821	4961	1074
822	4967	1068
823	4971	1061
824	4976	1055
825	4983	1049
826	4989	1043
827	4994	1037
828	4999	1031
829	5004	1024
830	5008	1018
831	5013	1012
832	5018	1006
833	5022	999
834	5027	993
835	5032	987
836	5036	980
837	5041	974
838	5046	968
839	5051	962
840	5055	955
841	5060	949
842	5067	943
843	5071	937
844	5076	931
845	5081	924
846	5085	918
847	5090	912
848	5095	906
849	5100	900
850	5104	893
851	5109	887
852	5114	881
853	5118	875
854	5123	868
855	5128	862
856	5133	856
857	5137	850
858	5143	844
859	5147	838
860	5152	831
861	5157	825
862	5162	819
863	5166	813
864	5171	807
865	5176	801
866	5182	794
867	5186	788
868	5192	782
869	5196	776
870	5201	770
871	5206	764
872	5210	758
873	5215	751
874	5219	745
875	5224	739
876	5229	733
877	5233	727
878	5240	721
879	5246	715
880	5251	709
881	5257	703
882	5261	697
883	5265	691
884	5271	685
885	5276	678
886	5280	672
887	5285	666
888	5290	660
889	5295	654
890	5300	648
891	5305	642
892	5310	636
893	5314	630
894	5320	624
895	5324	618
896	5329	611
897	5334	605
898	5339	599
899	5344	593
900	5348	587
901	5353	581
902	5358	575
903	5362	569
904	5367	563
905	5372	557
906	5376	551
907	5381	545
908	5387	539
909	5391	533
910	5396	527
911	5402	521
912	5407	515
913	5412	509
914	5418	503
915	5423	497
916	5430	491
917	5435	485
918	5441	479
919	5447	473
920	5453	467
921	5459	461
922	5466	456
923	5471	450
924	5477	444
925	5483	438
926	5488	432
927	5493	426
928	5498	420
929	5502	414
930	5507	408
931	5512	402
932	5518	396
933	5522	390
934	5528	384
935	5532	378
936	5537	372
937	5541	366
938	5546	360
939	5551	354
940	5555	348
941	5561	342
942	5565	336
943	5570	330
944	5574	324
945	5579	318
946	5584	312
947	5588	306
948	5594	300
949	5598	294
950	5602	288
951	5608	282
952	5612	276
953	5616	270
954	5621	264
955	5626	258
956	5632	253
957	5636	247
958	5643	241
959	5649	235
960	5653	229
961	5659	223
962	5663	217
963	5668	211
964	5673	205
965	5678	199
966	5682	193
967	5686	187
968	5692	182
969	5696	176
970	5701	170
971	5707	164
972	5713	158
973	5717	152
974	5723	146
975	5729	140
976	5733	134
977	5739	129
978	5744	123
979	5749	117
980	5754	111
981	5759	105
982	5763	99
983	5768	93
984	5772	87
985	5777	82
986	5781	76
987	5788	70
988	5792	64
989	5796	58
990	5802	52
991	5806	46
992	5810	40
993	5815	35
994	5821	29
995	5826	23
996	5832	17
997	5839	11
998	5844	5
999	5849	0
